main_category_id,main_category,subcategory,service,serviceLink,content_file,sub_category_id,service_id
1,Education & Training,Education for Government Officers,Research,https://gic.gov.lk/gic/index.php/en/component/info/?id=2116&catid=20&task=info,service_md_1/Research.md,20,2116
2,"Housing, Property & Utilities",Infrastructure,Sales of Sea Sand,https://gic.gov.lk/gic/index.php/en/component/info/?id=1804&catid=75&task=info,service_md_2/Sales_of_Sea_Sand.md,75,1804
2,"Housing, Property & Utilities",Infrastructure,Maintaining Continuous Operation at Pumping Stations in Urban Housing Projects,https://gic.gov.lk/gic/index.php/en/component/info/?id=669&catid=75&task=info,service_md_2/Maintaining_Continuous_Operation_at_Pumping_Stations_in_Urban_Housing_Projects.md,75,669
2,"Housing, Property & Utilities",Infrastructure,Rural Development Programme,https://gic.gov.lk/gic/index.php/en/component/info/?id=499&catid=75&task=info,service_md_2/Rural_Development_Programme.md,75,499
2,"Housing, Property & Utilities",Infrastructure,Infrastructure Development in the Lagging Regions of Plantation Areas,https://gic.gov.lk/gic/index.php/en/component/info/?id=2283&catid=75&task=info,service_md_2/Infrastructure_Development_in_the_Lagging_Regions_of_Plantation_Areas.md,75,2283
2,"Housing, Property & Utilities",Housing & Property,Legal Activities of National Housing Development Authority,https://gic.gov.lk/gic/index.php/en/component/info/?id=673&catid=21&task=info,service_md_2/Legal_Activities_of_National_Housing_Development_Authority.md,21,673
2,"Housing, Property & Utilities",Housing & Property,NDT Inspection Services,https://gic.gov.lk/gic/index.php/en/component/info/?id=2033&catid=21&task=info,service_md_2/NDT_Inspection_Services.md,21,2033
2,"Housing, Property & Utilities",Housing & Property,Survey Activities,https://gic.gov.lk/gic/index.php/en/component/info/?id=671&catid=21&task=info,service_md_2/Survey_Activities.md,21,671
2,"Housing, Property & Utilities",Housing & Property,L.L. permit to a Jayabhumi / Swarnabhumi grant,https://gic.gov.lk/gic/index.php/en/component/info/?id=558&catid=21&task=info,service_md_2/L_L__permit_to_a_Jayabhumi___Swarnabhumi_grant.md,21,558
2,"Housing, Property & Utilities",Housing & Property,Obtaining a Government Land Free of Charge,https://gic.gov.lk/gic/index.php/en/component/info/?id=556&catid=21&task=info,service_md_2/Obtaining_a_Government_Land_Free_of_Charge.md,21,556
2,"Housing, Property & Utilities",Housing & Property,Sale of Houses,https://gic.gov.lk/gic/index.php/en/component/info/?id=670&catid=21&task=info,service_md_2/Sale_of_Houses.md,21,670
2,"Housing, Property & Utilities",Housing & Property,Obtain Serviced Land Plots for Construction of Houses.,https://gic.gov.lk/gic/index.php/en/component/info/?id=672&catid=21&task=info,service_md_2/Obtain_Serviced_Land_Plots_for_Construction_of_Houses_.md,21,672
2,"Housing, Property & Utilities",Housing & Property,Pay Valued Amount of Acquired Lands,https://gic.gov.lk/gic/index.php/en/component/info/?id=561&catid=21&task=info,service_md_2/Pay_Valued_Amount_of_Acquired_Lands.md,21,561
2,"Housing, Property & Utilities",Housing & Property,Obtaining Permits for Transporting Furniture,https://gic.gov.lk/gic/index.php/en/component/info/?id=564&catid=21&task=info,service_md_2/Obtaining_Permits_for_Transporting_Furniture.md,21,564
2,"Housing, Property & Utilities",Housing & Property,Registration of Documents,https://gic.gov.lk/gic/index.php/en/component/info/?id=1622&catid=21&task=info,service_md_2/Registration_of_Documents.md,21,1622
2,"Housing, Property & Utilities",Housing & Property,Obtaining Free Government Land Developed Unauthorized,https://gic.gov.lk/gic/index.php/en/component/info/?id=557&catid=21&task=info,service_md_2/Obtaining_Free_Government_Land_Developed_Unauthorized.md,21,557
2,"Housing, Property & Utilities",Housing & Property,Obtaining Housing Grants for Poorest of the Poor Families,https://gic.gov.lk/gic/index.php/en/component/info/?id=667&catid=21&task=info,service_md_2/Obtaining_Housing_Grants_for_Poorest_of_the_Poor_Families.md,21,667
2,"Housing, Property & Utilities",Housing & Property,Obtain of Ranbima Grant,https://gic.gov.lk/gic/index.php/en/component/info/?id=598&catid=21&task=info,service_md_2/Obtain_of_Ranbima_Grant.md,21,598
2,"Housing, Property & Utilities",Housing & Property,Obtain of Grants Without Conditions to the people Who had been Issued with Grants with Conditions,https://gic.gov.lk/gic/index.php/en/component/info/?id=604&catid=21&task=info,service_md_2/Obtain_of_Grants_Without_Conditions_to_the_people_Who_had_been_Issued_with_Grants_with_Conditions.md,21,604
2,"Housing, Property & Utilities",Housing & Property,Obtain of Long Term Lease Bonds for Residential Purpose,https://gic.gov.lk/gic/index.php/en/component/info/?id=594&catid=21&task=info,service_md_2/Obtain_of_Long_Term_Lease_Bonds_for_Residential_Purpose.md,21,594
2,"Housing, Property & Utilities",Housing & Property,Obtain of Grants for the Permits Issued to the Middle Class,https://gic.gov.lk/gic/index.php/en/component/info/?id=605&catid=21&task=info,service_md_2/Obtain_of_Grants_for_the_Permits_Issued_to_the_Middle_Class.md,21,605
2,"Housing, Property & Utilities",Housing & Property,"Permitting Mortgaging, Transferring Instruments of Disposition",https://gic.gov.lk/gic/index.php/en/component/info/?id=600&catid=21&task=info,service_md_2/Permitting_Mortgaging__Transferring_Instruments_of_Disposition.md,21,600
2,"Housing, Property & Utilities",Housing & Property,Obtain of Grants to Buddhist Temples which are Presently Developed,https://gic.gov.lk/gic/index.php/en/component/info/?id=596&catid=21&task=info,service_md_2/Obtain_of_Grants_to_Buddhist_Temples_which_are_Presently_Developed.md,21,596
2,"Housing, Property & Utilities",Housing & Property,Obtain of Instruments of Disposition,https://gic.gov.lk/gic/index.php/en/component/info/?id=599&catid=21&task=info,service_md_2/Obtain_of_Instruments_of_Disposition.md,21,599
2,"Housing, Property & Utilities",Housing & Property,Provide  House to the  Plantation Community,https://gic.gov.lk/gic/index.php/en/component/info/?id=2274&catid=21&task=info,service_md_2/Provide__House_to_the__Plantation_Community.md,21,2274
2,"Housing, Property & Utilities",Planning & Building Regulations,PMU - Functions and Services,https://gic.gov.lk/gic/index.php/en/component/info/?id=1176&catid=22&task=info,service_md_2/PMU___Functions_and_Services.md,22,1176
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining Preliminary Planning Clearance for Development Activities,https://gic.gov.lk/gic/index.php/en/component/info/?id=707&catid=22&task=info,service_md_2/Obtaining_Preliminary_Planning_Clearance_for_Development_Activities.md,22,707
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining a Permit for Development Activities,https://gic.gov.lk/gic/index.php/en/component/info/?id=700&catid=22&task=info,service_md_2/Obtaining_a_Permit_for_Development_Activities.md,22,700
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining planning clearance for the development of low-lying lands and paddy lands,https://gic.gov.lk/gic/index.php/en/component/info/?id=712&catid=22&task=info,service_md_2/Obtaining_planning_clearance_for_the_development_of_low_lying_lands_and_paddy_lands.md,22,712
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining Preliminary Planning Clearance for Change of Use,https://gic.gov.lk/gic/index.php/en/component/info/?id=708&catid=22&task=info,service_md_2/Obtaining_Preliminary_Planning_Clearance_for_Change_of_Use.md,22,708
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining a resolution for the environmental Impacts from the development projects,https://gic.gov.lk/gic/index.php/en/component/info/?id=1374&catid=22&task=info,service_md_2/Obtaining_a_resolution_for_the_environmental_Impacts_from_the_development_projects.md,22,1374
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining Preliminary Planning Clearance for BOI Projects,https://gic.gov.lk/gic/index.php/en/component/info/?id=710&catid=22&task=info,service_md_2/Obtaining_Preliminary_Planning_Clearance_for_BOI_Projects.md,22,710
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining Preliminary Planning Clearance for Hotel Projects,https://gic.gov.lk/gic/index.php/en/component/info/?id=709&catid=22&task=info,service_md_2/Obtaining_Preliminary_Planning_Clearance_for_Hotel_Projects.md,22,709
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining particulars of settlers in the acquired and vested lands of UDA,https://gic.gov.lk/gic/index.php/en/component/info/?id=703&catid=22&task=info,service_md_2/Obtaining_particulars_of_settlers_in_the_acquired_and_vested_lands_of_UDA.md,22,703
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining Preliminary Planning Clearance for Telecommunication Towers,https://gic.gov.lk/gic/index.php/en/component/info/?id=711&catid=22&task=info,service_md_2/Obtaining_Preliminary_Planning_Clearance_for_Telecommunication_Towers.md,22,711
2,"Housing, Property & Utilities",Utilities,Electricity Break Down Service and other Particulars.,https://gic.gov.lk/gic/index.php/en/component/info/?id=760&catid=23&task=info,service_md_2/Electricity_Break_Down_Service_and_other_Particulars_.md,23,760
2,"Housing, Property & Utilities",Utilities,Change of the Name of Electricity Consumer,https://gic.gov.lk/gic/index.php/en/component/info/?id=755&catid=23&task=info,service_md_2/Change_of_the_Name_of_Electricity_Consumer.md,23,755
2,"Housing, Property & Utilities",Utilities,Obtaining a New Bulk Supply Electricity Service  (Areas other than Colombo City),https://gic.gov.lk/gic/index.php/en/component/info/?id=754&catid=23&task=info,service_md_2/Obtaining_a_New_Bulk_Supply_Electricity_Service___Areas_other_than_Colombo_City_.md,23,754
2,"Housing, Property & Utilities",Utilities,Obtaining an Ordinary Supply Electricity Service within Colombo Municipal Limits,https://gic.gov.lk/gic/index.php/en/component/info/?id=751&catid=23&task=info,service_md_2/Obtaining_an_Ordinary_Supply_Electricity_Service_within_Colombo_Municipal_Limits.md,23,751
2,"Housing, Property & Utilities",Utilities,Use of Tele Mail Service,https://gic.gov.lk/gic/index.php/en/component/info/?id=740&catid=23&task=info,service_md_2/Use_of_Tele_Mail_Service.md,23,740
2,"Housing, Property & Utilities",Utilities,Obtaining a New Ordinary Electricity Supply (Other than Colombo City),https://gic.gov.lk/gic/index.php/en/component/info/?id=752&catid=23&task=info,service_md_2/Obtaining_a_New_Ordinary_Electricity_Supply__Other_than_Colombo_City_.md,23,752
2,"Housing, Property & Utilities",Utilities,Change of Tariff,https://gic.gov.lk/gic/index.php/en/component/info/?id=1157&catid=23&task=info,service_md_2/Change_of_Tariff.md,23,1157
2,"Housing, Property & Utilities",Utilities,Obtaining a New Bulk Supply Electricity Service (Within Colombo City Limits),https://gic.gov.lk/gic/index.php/en/component/info/?id=753&catid=23&task=info,service_md_2/Obtaining_a_New_Bulk_Supply_Electricity_Service__Within_Colombo_City_Limits_.md,23,753
2,"Housing, Property & Utilities",Utilities,Change of the Place where the Meters is Fixed,https://gic.gov.lk/gic/index.php/en/component/info/?id=759&catid=23&task=info,service_md_2/Change_of_the_Place_where_the_Meters_is_Fixed.md,23,759
2,"Housing, Property & Utilities",Utilities,Obtaining a Temporary Connection from Another House (Areas Other than the Colombo City),https://gic.gov.lk/gic/index.php/en/component/info/?id=757&catid=23&task=info,service_md_2/Obtaining_a_Temporary_Connection_from_Another_House__Areas_Other_than_the_Colombo_City_.md,23,757
2,"Housing, Property & Utilities",Utilities,Obtaining a Temporary Connection  (Areas other than the Colombo City),https://gic.gov.lk/gic/index.php/en/component/info/?id=756&catid=23&task=info,service_md_2/Obtaining_a_Temporary_Connection___Areas_other_than_the_Colombo_City_.md,23,756
3,"Banking, Tax & Insurance",Leasing Facilities,Leasing,https://gic.gov.lk/gic/index.php/en/component/info/?id=1862&catid=82&task=info,service_md_3/Leasing.md,82,1862
3,"Banking, Tax & Insurance",Miscellaneous,Ceybank Gold Shop,https://gic.gov.lk/gic/index.php/en/component/info/?id=774&catid=90&task=info,service_md_3/Ceybank_Gold_Shop.md,90,774
3,"Banking, Tax & Insurance",Miscellaneous,NDT Inspection Services,https://gic.gov.lk/gic/index.php/en/component/info/?id=2033&catid=90&task=info,service_md_3/NDT_Inspection_Services.md,90,2033
3,"Banking, Tax & Insurance",Miscellaneous,Providing Bonds & Guarantees,https://gic.gov.lk/gic/index.php/en/component/info/?id=1790&catid=90&task=info,service_md_3/Providing_Bonds___Guarantees.md,90,1790
3,"Banking, Tax & Insurance",Miscellaneous,Personal Monitoring Service,https://gic.gov.lk/gic/index.php/en/component/info/?id=2031&catid=90&task=info,service_md_3/Personal_Monitoring_Service.md,90,2031
3,"Banking, Tax & Insurance",Miscellaneous,Procedures of Bank of Ceylon,https://gic.gov.lk/gic/index.php/en/component/info/?id=805&catid=90&task=info,service_md_3/Procedures_of_Bank_of_Ceylon.md,90,805
3,"Banking, Tax & Insurance",Miscellaneous,Safe Deposit Lockers,https://gic.gov.lk/gic/index.php/en/component/info/?id=772&catid=90&task=info,-,90,772
3,"Banking, Tax & Insurance",Miscellaneous,BOC I-net Facility,https://gic.gov.lk/gic/index.php/en/component/info/?id=790&catid=90&task=info,-,90,790
3,"Banking, Tax & Insurance",Miscellaneous,Issuing Crackers for Public,https://gic.gov.lk/gic/index.php/en/component/info/?id=1101&catid=90&task=info,-,90,1101
3,"Banking, Tax & Insurance",Miscellaneous,Tower Sound Studio,https://gic.gov.lk/gic/index.php/en/component/info/?id=1837&catid=90&task=info,service_md_3/Tower_Sound_Studio.md,90,1837
3,"Banking, Tax & Insurance",Bank Accounts,Children Accounts,https://gic.gov.lk/gic/index.php/en/component/info/?id=981&catid=24&task=info,service_md_3/Children_Accounts.md,24,981
3,"Banking, Tax & Insurance",Bank Accounts,Current Accounts  (Demand Deposit),https://gic.gov.lk/gic/index.php/en/component/info/?id=799&catid=24&task=info,service_md_3/Current_Accounts___Demand_Deposit_.md,24,799
3,"Banking, Tax & Insurance",Bank Accounts,Children Savings Accounts,https://gic.gov.lk/gic/index.php/en/component/info/?id=801&catid=24&task=info,service_md_3/Children_Savings_Accounts.md,24,801
3,"Banking, Tax & Insurance",Bank Accounts,Other Special Savings Accounts Schemes,https://gic.gov.lk/gic/index.php/en/component/info/?id=802&catid=24&task=info,service_md_3/Other_Special_Savings_Accounts_Schemes.md,24,802
3,"Banking, Tax & Insurance",Bank Accounts,Term Deposits (Fixed Deposit),https://gic.gov.lk/gic/index.php/en/component/info/?id=803&catid=24&task=info,service_md_3/Term_Deposits__Fixed_Deposit_.md,24,803
