main_category_id,main_category,subcategory,service,serviceLink
2,"Housing, Property & Utilities",Housing & Property,Legal Activities of National Housing Development Authority,https://gic.gov.lk/gic/index.php/en/component/info/?id=673&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,NDT Inspection Services,https://gic.gov.lk/gic/index.php/en/component/info/?id=2033&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Survey Activities,https://gic.gov.lk/gic/index.php/en/component/info/?id=671&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,L.L. permit to a Jayabhumi / Swarnabhumi grant,https://gic.gov.lk/gic/index.php/en/component/info/?id=558&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Obtaining a Government Land Free of Charge,https://gic.gov.lk/gic/index.php/en/component/info/?id=556&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Sale of Houses,https://gic.gov.lk/gic/index.php/en/component/info/?id=670&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Obtain Serviced Land Plots for Construction of Houses.,https://gic.gov.lk/gic/index.php/en/component/info/?id=672&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Pay Valued Amount of Acquired Lands,https://gic.gov.lk/gic/index.php/en/component/info/?id=561&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Obtaining Permits for Transporting Furniture,https://gic.gov.lk/gic/index.php/en/component/info/?id=564&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Registration of Documents,https://gic.gov.lk/gic/index.php/en/component/info/?id=1622&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Obtaining Free Government Land Developed Unauthorized,https://gic.gov.lk/gic/index.php/en/component/info/?id=557&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Obtaining Housing Grants for Poorest of the Poor Families,https://gic.gov.lk/gic/index.php/en/component/info/?id=667&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Obtain of Ranbima Grant,https://gic.gov.lk/gic/index.php/en/component/info/?id=598&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Obtain of Grants Without Conditions to the people Who had been Issued with Grants with Conditions,https://gic.gov.lk/gic/index.php/en/component/info/?id=604&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Obtain of Long Term Lease Bonds for Residential Purpose,https://gic.gov.lk/gic/index.php/en/component/info/?id=594&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Obtain of Grants for the Permits Issued to the Middle Class,https://gic.gov.lk/gic/index.php/en/component/info/?id=605&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,"Permitting Mortgaging, Transferring Instruments of Disposition",https://gic.gov.lk/gic/index.php/en/component/info/?id=600&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Obtain of Grants to Buddhist Temples which are Presently Developed,https://gic.gov.lk/gic/index.php/en/component/info/?id=596&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Obtain of Instruments of Disposition,https://gic.gov.lk/gic/index.php/en/component/info/?id=599&catid=21&task=info
2,"Housing, Property & Utilities",Housing & Property,Provide  House to the  Plantation Community,https://gic.gov.lk/gic/index.php/en/component/info/?id=2274&catid=21&task=info
2,"Housing, Property & Utilities",Planning & Building Regulations,PMU - Functions and Services,https://gic.gov.lk/gic/index.php/en/component/info/?id=1176&catid=22&task=info
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining Preliminary Planning Clearance for Development Activities,https://gic.gov.lk/gic/index.php/en/component/info/?id=707&catid=22&task=info
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining a Permit for Development Activities,https://gic.gov.lk/gic/index.php/en/component/info/?id=700&catid=22&task=info
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining planning clearance for the development of low-lying lands and paddy lands,https://gic.gov.lk/gic/index.php/en/component/info/?id=712&catid=22&task=info
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining Preliminary Planning Clearance for Change of Use,https://gic.gov.lk/gic/index.php/en/component/info/?id=708&catid=22&task=info
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining a resolution for the environmental Impacts from the development projects,https://gic.gov.lk/gic/index.php/en/component/info/?id=1374&catid=22&task=info
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining Preliminary Planning Clearance for BOI Projects,https://gic.gov.lk/gic/index.php/en/component/info/?id=710&catid=22&task=info
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining Preliminary Planning Clearance for Hotel Projects,https://gic.gov.lk/gic/index.php/en/component/info/?id=709&catid=22&task=info
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining particulars of settlers in the acquired and vested lands of UDA,https://gic.gov.lk/gic/index.php/en/component/info/?id=703&catid=22&task=info
2,"Housing, Property & Utilities",Planning & Building Regulations,Obtaining Preliminary Planning Clearance for Telecommunication Towers,https://gic.gov.lk/gic/index.php/en/component/info/?id=711&catid=22&task=info
2,"Housing, Property & Utilities",Utilities,Electricity Break Down Service and other Particulars.,https://gic.gov.lk/gic/index.php/en/component/info/?id=760&catid=23&task=info
2,"Housing, Property & Utilities",Utilities,Change of the Name of Electricity Consumer,https://gic.gov.lk/gic/index.php/en/component/info/?id=755&catid=23&task=info
2,"Housing, Property & Utilities",Utilities,Obtaining a New Bulk Supply Electricity Service  (Areas other than Colombo City),https://gic.gov.lk/gic/index.php/en/component/info/?id=754&catid=23&task=info
2,"Housing, Property & Utilities",Utilities,Obtaining an Ordinary Supply Electricity Service within Colombo Municipal Limits,https://gic.gov.lk/gic/index.php/en/component/info/?id=751&catid=23&task=info
2,"Housing, Property & Utilities",Utilities,Use of Tele Mail Service,https://gic.gov.lk/gic/index.php/en/component/info/?id=740&catid=23&task=info
2,"Housing, Property & Utilities",Utilities,Obtaining a New Ordinary Electricity Supply (Other than Colombo City),https://gic.gov.lk/gic/index.php/en/component/info/?id=752&catid=23&task=info
2,"Housing, Property & Utilities",Utilities,Change of Tariff,https://gic.gov.lk/gic/index.php/en/component/info/?id=1157&catid=23&task=info
2,"Housing, Property & Utilities",Utilities,Obtaining a New Bulk Supply Electricity Service (Within Colombo City Limits),https://gic.gov.lk/gic/index.php/en/component/info/?id=753&catid=23&task=info
2,"Housing, Property & Utilities",Utilities,Change of the Place where the Meters is Fixed,https://gic.gov.lk/gic/index.php/en/component/info/?id=759&catid=23&task=info
2,"Housing, Property & Utilities",Utilities,Obtaining a Temporary Connection from Another House (Areas Other than the Colombo City),https://gic.gov.lk/gic/index.php/en/component/info/?id=757&catid=23&task=info
2,"Housing, Property & Utilities",Utilities,Obtaining a Temporary Connection  (Areas other than the Colombo City),https://gic.gov.lk/gic/index.php/en/component/info/?id=756&catid=23&task=info
3,"Banking, Tax & Insurance",Leasing Facilities,Leasing,https://gic.gov.lk/gic/index.php/en/component/info/?id=1862&catid=82&task=info
3,"Banking, Tax & Insurance",Miscellaneous,Ceybank Gold Shop,https://gic.gov.lk/gic/index.php/en/component/info/?id=774&catid=90&task=info
3,"Banking, Tax & Insurance",Miscellaneous,NDT Inspection Services,https://gic.gov.lk/gic/index.php/en/component/info/?id=2033&catid=90&task=info
3,"Banking, Tax & Insurance",Miscellaneous,Providing Bonds & Guarantees,https://gic.gov.lk/gic/index.php/en/component/info/?id=1790&catid=90&task=info
3,"Banking, Tax & Insurance",Miscellaneous,Personal Monitoring Service,https://gic.gov.lk/gic/index.php/en/component/info/?id=2031&catid=90&task=info
3,"Banking, Tax & Insurance",Miscellaneous,Procedures of Bank of Ceylon,https://gic.gov.lk/gic/index.php/en/component/info/?id=805&catid=90&task=info
3,"Banking, Tax & Insurance",Miscellaneous,Safe Deposit Lockers,https://gic.gov.lk/gic/index.php/en/component/info/?id=772&catid=90&task=info
3,"Banking, Tax & Insurance",Miscellaneous,BOC I-net Facility,https://gic.gov.lk/gic/index.php/en/component/info/?id=790&catid=90&task=info
3,"Banking, Tax & Insurance",Miscellaneous,Issuing Crackers for Public,https://gic.gov.lk/gic/index.php/en/component/info/?id=1101&catid=90&task=info
3,"Banking, Tax & Insurance",Miscellaneous,Tower Sound Studio,https://gic.gov.lk/gic/index.php/en/component/info/?id=1837&catid=90&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Children Accounts,https://gic.gov.lk/gic/index.php/en/component/info/?id=981&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Current Accounts  (Demand Deposit),https://gic.gov.lk/gic/index.php/en/component/info/?id=799&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Children Savings Accounts,https://gic.gov.lk/gic/index.php/en/component/info/?id=801&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Other Special Savings Accounts Schemes,https://gic.gov.lk/gic/index.php/en/component/info/?id=802&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Term Deposits (Fixed Deposit),https://gic.gov.lk/gic/index.php/en/component/info/?id=803&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Ordinary Rupee Savings Accounts,https://gic.gov.lk/gic/index.php/en/component/info/?id=800&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Wanitha Shakthi Bank Societies,https://gic.gov.lk/gic/index.php/en/component/info/?id=1038&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Deposits to Savings Account,https://gic.gov.lk/gic/index.php/en/component/info/?id=724&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Opening a Savings Account,https://gic.gov.lk/gic/index.php/en/component/info/?id=723&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,VISA ELECTRON Debit Card,https://gic.gov.lk/gic/index.php/en/component/info/?id=787&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Withdrawals from Minor's Account,https://gic.gov.lk/gic/index.php/en/component/info/?id=727&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Withdrawals from the Savings Accounts,https://gic.gov.lk/gic/index.php/en/component/info/?id=725&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Opening of a Minors Savings Account / Opening of a HAPPY Children' Savings Account,https://gic.gov.lk/gic/index.php/en/component/info/?id=726&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Ordinary Savings Accounts,https://gic.gov.lk/gic/index.php/en/component/info/?id=1836&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Ladies' Savings Account,https://gic.gov.lk/gic/index.php/en/component/info/?id=1856&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Senior Citizen's Savings Account,https://gic.gov.lk/gic/index.php/en/component/info/?id=1857&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Daily Deposit Collection Service,https://gic.gov.lk/gic/index.php/en/component/info/?id=1852&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Minor's Savings Accounts,https://gic.gov.lk/gic/index.php/en/component/info/?id=1848&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,Term Deposit Accounts,https://gic.gov.lk/gic/index.php/en/component/info/?id=1858&catid=24&task=info
3,"Banking, Tax & Insurance",Bank Accounts,RDB Accounts,https://gic.gov.lk/gic/index.php/en/component/info/?id=2367&catid=24&task=info
3,"Banking, Tax & Insurance",Loans,Update of registered Trade Unions,https://gic.gov.lk/gic/index.php/en/component/info/?id=844&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Obtaining Housing Loans for Low Income Families,https://gic.gov.lk/gic/index.php/en/component/info/?id=666&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,RDB Loans,https://gic.gov.lk/gic/index.php/en/component/info/?id=2368&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Obtain Educational Loans,https://gic.gov.lk/gic/index.php/en/component/info/?id=813&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Obtain Loans for Agricultural Purposes,https://gic.gov.lk/gic/index.php/en/component/info/?id=806&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Small and Medium Enterprises (SME) Loan Scheme,https://gic.gov.lk/gic/index.php/en/component/info/?id=812&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Income Statement,https://gic.gov.lk/gic/index.php/en/component/info/?id=567&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Obtain Micro Finance Facilities,https://gic.gov.lk/gic/index.php/en/component/info/?id=807&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Loan Facilites for Journalists,https://gic.gov.lk/gic/index.php/en/component/info/?id=761&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Agro Livestock Development Loan Scheme (ALDLS),https://gic.gov.lk/gic/index.php/en/component/info/?id=814&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Obtain Loans for Agri Businesses,https://gic.gov.lk/gic/index.php/en/component/info/?id=809&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Obtain Small & Medium Loans,https://gic.gov.lk/gic/index.php/en/component/info/?id=811&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Personal Loans,https://gic.gov.lk/gic/index.php/en/component/info/?id=1861&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Obtain Fishery Loans,https://gic.gov.lk/gic/index.php/en/component/info/?id=808&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,HDFC Lifestyle Loan,https://gic.gov.lk/gic/index.php/en/component/info/?id=1900&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Small & Medium Scale Loans,https://gic.gov.lk/gic/index.php/en/component/info/?id=1860&catid=25&task=info
3,"Banking, Tax & Insurance",Loans,Small Enterprise Development Loans,https://gic.gov.lk/gic/index.php/en/component/info/?id=1859&catid=25&task=info
3,"Banking, Tax & Insurance",Taxes & Insurance,Obtaining a Taxpayer Identification Number (TIN),https://gic.gov.lk/gic/index.php/en/component/info/?id=864&catid=26&task=info
3,"Banking, Tax & Insurance",Taxes & Insurance,Obtaining a Temporary VAT Certificate,https://gic.gov.lk/gic/index.php/en/component/info/?id=865&catid=26&task=info
3,"Banking, Tax & Insurance",Taxes & Insurance,GUIDELINES AND CONDITIONS APPLICABLE FOR THE ISSUE OF EXCISE LICENSES,https://gic.gov.lk/gic/index.php/en/component/info/?id=1156&catid=26&task=info
3,"Banking, Tax & Insurance",Taxes & Insurance,Obtaining Tax clearance Certificate,https://gic.gov.lk/gic/index.php/en/component/info/?id=867&catid=26&task=info
3,"Banking, Tax & Insurance",Taxes & Insurance,Obtaining Detailed Meteorological Reports for Insurance Claims,https://gic.gov.lk/gic/index.php/en/component/info/?id=765&catid=26&task=info
3,"Banking, Tax & Insurance",Taxes & Insurance,Ceybank Insurance Services,https://gic.gov.lk/gic/index.php/en/component/info/?id=775&catid=26&task=info
3,"Banking, Tax & Insurance",Taxes & Insurance,Alternation of Name or Address in the Already Issued TIN Certificate,https://gic.gov.lk/gic/index.php/en/component/info/?id=866&catid=26&task=info
3,"Banking, Tax & Insurance",Taxes & Insurance,Services,https://gic.gov.lk/gic/index.php/en/component/info/?id=1855&catid=26&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Reservation of Circuit Bungalows,https://gic.gov.lk/gic/index.php/en/component/info/?id=1095&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Museum Visit,https://gic.gov.lk/gic/index.php/en/component/info/?id=1716&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,Hiring of Reception Halls,https://gic.gov.lk/gic/index.php/en/component/info/?id=674&catid=91&task=info
4,"Travel, Tourism &  Lesiure",Leisure,State Children's  Contest &  Art Festival,https://gic.gov.lk/gic/index.php/en/component/info/?id=637&catid=91&task=info
